"","i","j","path1","path2","overlap","union","jaccard","Cluster"
"16",1,18,"mmu05205:Proteoglycans in cancer","mmu05418:Fluid shear stress and atherosclerosis",5,20,0.25,"Cluster_1"
"17",1,19,"mmu05205:Proteoglycans in cancer","mmu04926:Relaxin signaling pathway",4,20,0.2,"Cluster_1"
"18",1,20,"mmu05205:Proteoglycans in cancer","mmu05135:Yersinia infection",3,20,0.15,"Cluster_1"
"19",1,21,"mmu05205:Proteoglycans in cancer","mmu05200:Pathways in cancer",5,25,0.2,"Cluster_1"
"20",1,22,"mmu05205:Proteoglycans in cancer","mmu04722:Neurotrophin signaling pathway",2,19,0.105263157894737,"Cluster_1"
"21",1,24,"mmu05205:Proteoglycans in cancer","mmu05203:Viral carcinogenesis",2,21,0.0952380952380952,"Cluster_1"
"22",1,26,"mmu05205:Proteoglycans in cancer","mmu04620:Toll-like receptor signaling pathway",1,19,0.0526315789473684,"Cluster_1"
"23",1,27,"mmu05205:Proteoglycans in cancer","mmu04722:Neurotrophin signaling pathway",2,19,0.105263157894737,"Cluster_1"
"24",2,3,"mmu04151:PI3K-Akt signaling pathway","mmu04510:Focal adhesion",9,19,0.473684210526316,"Cluster_1"
"25",2,4,"mmu04151:PI3K-Akt signaling pathway","mmu05165:Human papillomavirus infection",10,21,0.476190476190476,"Cluster_1"
"26",2,5,"mmu04151:PI3K-Akt signaling pathway","R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",3,22,0.136363636363636,"Cluster_1"
"27",2,6,"mmu04151:PI3K-Akt signaling pathway","mmu04933:AGE-RAGE signaling pathway in diabetic complications",7,22,0.318181818181818,"Cluster_1"
"28",2,7,"mmu04151:PI3K-Akt signaling pathway","R-MMU-1474244~Extracellular matrix organization",5,28,0.178571428571429,"Cluster_1"
"29",2,8,"mmu04151:PI3K-Akt signaling pathway","mmu04926:Relaxin signaling pathway",5,21,0.238095238095238,"Cluster_1"
"30",2,9,"mmu04151:PI3K-Akt signaling pathway","R-MMU-1474228~Degradation of the extracellular matrix",4,22,0.181818181818182,"Cluster_1"
"31",2,12,"mmu04151:PI3K-Akt signaling pathway","mmu05135:Yersinia infection",4,21,0.19047619047619,"Cluster_1"
"32",2,13,"mmu04151:PI3K-Akt signaling pathway","mmu05135:Yersinia infection",4,21,0.19047619047619,"Cluster_1"
"33",2,14,"mmu04151:PI3K-Akt signaling pathway","mmu04722:Neurotrophin signaling pathway",3,20,0.15,"Cluster_1"
"34",2,15,"mmu04151:PI3K-Akt signaling pathway","mmu04722:Neurotrophin signaling pathway",3,20,0.15,"Cluster_1"
"35",2,16,"mmu04151:PI3K-Akt signaling pathway","mmu05323:Rheumatoid arthritis",2,22,0.0909090909090909,"Cluster_1"
"36",2,17,"mmu04151:PI3K-Akt signaling pathway","mmu04668:TNF signaling pathway",3,25,0.12,"Cluster_1"
"37",2,18,"mmu04151:PI3K-Akt signaling pathway","mmu05418:Fluid shear stress and atherosclerosis",3,24,0.125,"Cluster_1"
"38",2,19,"mmu04151:PI3K-Akt signaling pathway","mmu04926:Relaxin signaling pathway",5,21,0.238095238095238,"Cluster_1"
"39",2,20,"mmu04151:PI3K-Akt signaling pathway","mmu05135:Yersinia infection",4,21,0.19047619047619,"Cluster_1"
"40",2,21,"mmu04151:PI3K-Akt signaling pathway","mmu05200:Pathways in cancer",6,26,0.230769230769231,"Cluster_1"
"41",2,22,"mmu04151:PI3K-Akt signaling pathway","mmu04722:Neurotrophin signaling pathway",3,20,0.15,"Cluster_1"
"42",2,23,"mmu04151:PI3K-Akt signaling pathway","mmu04657:IL-17 signaling pathway",1,21,0.0476190476190476,"Cluster_1"
"43",2,24,"mmu04151:PI3K-Akt signaling pathway","mmu05203:Viral carcinogenesis",3,22,0.136363636363636,"Cluster_1"
"44",2,25,"mmu04151:PI3K-Akt signaling pathway","WP113:TGF beta signaling pathway",2,21,0.0952380952380952,"Cluster_1"
"45",2,26,"mmu04151:PI3K-Akt signaling pathway","mmu04620:Toll-like receptor signaling pathway",3,19,0.157894736842105,"Cluster_1"
"46",2,27,"mmu04151:PI3K-Akt signaling pathway","mmu04722:Neurotrophin signaling pathway",3,20,0.15,"Cluster_1"
"47",3,4,"mmu04510:Focal adhesion","mmu05165:Human papillomavirus infection",9,18,0.5,"Cluster_1"
"48",3,5,"mmu04510:Focal adhesion","R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",2,19,0.105263157894737,"Cluster_1"
"49",3,6,"mmu04510:Focal adhesion","mmu04933:AGE-RAGE signaling pathway in diabetic complications",7,18,0.388888888888889,"Cluster_1"
"50",3,7,"mmu04510:Focal adhesion","R-MMU-1474244~Extracellular matrix organization",5,24,0.208333333333333,"Cluster_1"
"51",3,8,"mmu04510:Focal adhesion","mmu04926:Relaxin signaling pathway",5,17,0.294117647058824,"Cluster_1"
"52",3,9,"mmu04510:Focal adhesion","R-MMU-1474228~Degradation of the extracellular matrix",4,18,0.222222222222222,"Cluster_1"
"53",3,12,"mmu04510:Focal adhesion","mmu05135:Yersinia infection",4,17,0.235294117647059,"Cluster_1"
"54",3,13,"mmu04510:Focal adhesion","mmu05135:Yersinia infection",4,17,0.235294117647059,"Cluster_1"
"55",3,14,"mmu04510:Focal adhesion","mmu04722:Neurotrophin signaling pathway",2,17,0.117647058823529,"Cluster_1"
"56",3,15,"mmu04510:Focal adhesion","mmu04722:Neurotrophin signaling pathway",2,17,0.117647058823529,"Cluster_1"
"57",3,16,"mmu04510:Focal adhesion","mmu05323:Rheumatoid arthritis",2,18,0.111111111111111,"Cluster_1"
"58",3,17,"mmu04510:Focal adhesion","mmu04668:TNF signaling pathway",2,22,0.0909090909090909,"Cluster_1"
"59",3,18,"mmu04510:Focal adhesion","mmu05418:Fluid shear stress and atherosclerosis",3,20,0.15,"Cluster_1"
"60",3,19,"mmu04510:Focal adhesion","mmu04926:Relaxin signaling pathway",5,17,0.294117647058824,"Cluster_1"
"61",3,20,"mmu04510:Focal adhesion","mmu05135:Yersinia infection",4,17,0.235294117647059,"Cluster_1"
"62",3,21,"mmu04510:Focal adhesion","mmu05200:Pathways in cancer",6,22,0.272727272727273,"Cluster_1"
"63",3,22,"mmu04510:Focal adhesion","mmu04722:Neurotrophin signaling pathway",2,17,0.117647058823529,"Cluster_1"
"64",3,23,"mmu04510:Focal adhesion","mmu04657:IL-17 signaling pathway",1,17,0.0588235294117647,"Cluster_1"
"65",3,24,"mmu04510:Focal adhesion","mmu05203:Viral carcinogenesis",4,17,0.235294117647059,"Cluster_1"
"66",3,25,"mmu04510:Focal adhesion","WP113:TGF beta signaling pathway",2,17,0.117647058823529,"Cluster_1"
"67",3,26,"mmu04510:Focal adhesion","mmu04620:Toll-like receptor signaling pathway",3,15,0.2,"Cluster_1"
"68",3,27,"mmu04510:Focal adhesion","mmu04722:Neurotrophin signaling pathway",2,17,0.117647058823529,"Cluster_1"
"69",4,5,"mmu05165:Human papillomavirus infection","R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)",2,22,0.0909090909090909,"Cluster_1"
"70",4,6,"mmu05165:Human papillomavirus infection","mmu04933:AGE-RAGE signaling pathway in diabetic complications",7,21,0.333333333333333,"Cluster_1"
"71",4,7,"mmu05165:Human papillomavirus infection","R-MMU-1474244~Extracellular matrix organization",5,27,0.185185185185185,"Cluster_1"
"72",4,8,"mmu05165:Human papillomavirus infection","mmu04926:Relaxin signaling pathway",5,20,0.25,"Cluster_1"
"73",4,9,"mmu05165:Human papillomavirus infection","R-MMU-1474228~Degradation of the extracellular matrix",4,21,0.19047619047619,"Cluster_1"
"74",4,12,"mmu05165:Human papillomavirus infection","mmu05135:Yersinia infection",4,20,0.2,"Cluster_1"
"75",4,13,"mmu05165:Human papillomavirus infection","mmu05135:Yersinia infection",4,20,0.2,"Cluster_1"
"76",4,14,"mmu05165:Human papillomavirus infection","mmu04722:Neurotrophin signaling pathway",2,20,0.1,"Cluster_1"
"77",4,15,"mmu05165:Human papillomavirus infection","mmu04722:Neurotrophin signaling pathway",2,20,0.1,"Cluster_1"
"78",4,16,"mmu05165:Human papillomavirus infection","mmu05323:Rheumatoid arthritis",1,22,0.0454545454545455,"Cluster_1"
"79",4,17,"mmu05165:Human papillomavirus infection","mmu04668:TNF signaling pathway",3,24,0.125,"Cluster_1"
"80",4,18,"mmu05165:Human papillomavirus infection","mmu05418:Fluid shear stress and atherosclerosis",3,23,0.130434782608696,"Cluster_1"
"81",4,19,"mmu05165:Human papillomavirus infection","mmu04926:Relaxin signaling pathway",5,20,0.25,"Cluster_1"
"82",4,20,"mmu05165:Human papillomavirus infection","mmu05135:Yersinia infection",4,20,0.2,"Cluster_1"
"83",4,21,"mmu05165:Human papillomavirus infection","mmu05200:Pathways in cancer",7,24,0.291666666666667,"Cluster_1"
"84",4,22,"mmu05165:Human papillomavirus infection","mmu04722:Neurotrophin signaling pathway",2,20,0.1,"Cluster_1"
"85",4,23,"mmu05165:Human papillomavirus infection","mmu04657:IL-17 signaling pathway",1,20,0.05,"Cluster_1"
"86",4,24,"mmu05165:Human papillomavirus infection","mmu05203:Viral carcinogenesis",5,19,0.263157894736842,"Cluster_1"
"87",4,25,"mmu05165:Human papillomavirus infection","WP113:TGF beta signaling pathway",2,20,0.1,"Cluster_1"
"88",4,26,"mmu05165:Human papillomavirus infection","mmu04620:Toll-like receptor signaling pathway",3,18,0.166666666666667,"Cluster_1"
"89",4,27,"mmu05165:Human papillomavirus infection","mmu04722:Neurotrophin signaling pathway",2,20,0.1,"Cluster_1"
"90",5,6,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu04933:AGE-RAGE signaling pathway in diabetic complications",1,21,0.0476190476190476,"Cluster_1"
"91",5,7,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","R-MMU-1474244~Extracellular matrix organization",5,21,0.238095238095238,"Cluster_1"
"92",5,9,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","R-MMU-1474228~Degradation of the extracellular matrix",3,16,0.1875,"Cluster_1"
"93",5,10,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","R-MMU-9006936~Signaling by TGFB family members",2,16,0.125,"Cluster_1"
"94",5,11,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","R-MMU-9839373~Signaling by TGFBR3",1,13,0.0769230769230769,"Cluster_1"
"95",5,12,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05135:Yersinia infection",1,17,0.0588235294117647,"Cluster_1"
"96",5,13,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05135:Yersinia infection",1,17,0.0588235294117647,"Cluster_1"
"97",5,16,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05323:Rheumatoid arthritis",1,16,0.0625,"Cluster_1"
"98",5,17,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu04668:TNF signaling pathway",1,20,0.05,"Cluster_1"
"99",5,18,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05418:Fluid shear stress and atherosclerosis",1,19,0.0526315789473684,"Cluster_1"
"100",5,20,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05135:Yersinia infection",1,17,0.0588235294117647,"Cluster_1"
"101",5,21,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05200:Pathways in cancer",1,24,0.0416666666666667,"Cluster_1"
"102",5,24,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu05203:Viral carcinogenesis",1,17,0.0588235294117647,"Cluster_1"
"103",5,25,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","WP113:TGF beta signaling pathway",1,15,0.0666666666666667,"Cluster_1"
"104",5,26,"R-MMU-381426~Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs)","mmu04620:Toll-like receptor signaling pathway",1,14,0.0714285714285714,"Cluster_1"
"105",6,7,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","R-MMU-1474244~Extracellular matrix organization",5,25,0.2,"Cluster_1"
"106",6,8,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04926:Relaxin signaling pathway",8,15,0.533333333333333,"Cluster_1"
"107",6,9,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","R-MMU-1474228~Degradation of the extracellular matrix",4,19,0.210526315789474,"Cluster_1"
"108",6,10,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","R-MMU-9006936~Signaling by TGFB family members",1,21,0.0476190476190476,"Cluster_1"
"109",6,12,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05135:Yersinia infection",5,17,0.294117647058824,"Cluster_1"
"110",6,13,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05135:Yersinia infection",5,17,0.294117647058824,"Cluster_1"
"111",6,14,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04722:Neurotrophin signaling pathway",3,17,0.176470588235294,"Cluster_1"
"112",6,15,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04722:Neurotrophin signaling pathway",3,17,0.176470588235294,"Cluster_1"
"113",6,16,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05323:Rheumatoid arthritis",3,18,0.166666666666667,"Cluster_1"
"114",6,17,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04668:TNF signaling pathway",5,20,0.25,"Cluster_1"
"115",6,18,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05418:Fluid shear stress and atherosclerosis",6,18,0.333333333333333,"Cluster_1"
"116",6,19,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04926:Relaxin signaling pathway",8,15,0.533333333333333,"Cluster_1"
"117",6,20,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05135:Yersinia infection",5,17,0.294117647058824,"Cluster_1"
"118",6,21,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05200:Pathways in cancer",8,21,0.380952380952381,"Cluster_1"
"119",6,22,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04722:Neurotrophin signaling pathway",3,17,0.176470588235294,"Cluster_1"
"120",6,23,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04657:IL-17 signaling pathway",3,16,0.1875,"Cluster_1"
"121",6,24,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu05203:Viral carcinogenesis",4,18,0.222222222222222,"Cluster_1"
"122",6,25,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","WP113:TGF beta signaling pathway",3,17,0.176470588235294,"Cluster_1"
"123",6,26,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04620:Toll-like receptor signaling pathway",3,16,0.1875,"Cluster_1"
"124",6,27,"mmu04933:AGE-RAGE signaling pathway in diabetic complications","mmu04722:Neurotrophin signaling pathway",3,17,0.176470588235294,"Cluster_1"
"125",7,8,"R-MMU-1474244~Extracellular matrix organization","mmu04926:Relaxin signaling pathway",3,24,0.125,"Cluster_1"
"126",7,9,"R-MMU-1474244~Extracellular matrix organization","R-MMU-1474228~Degradation of the extracellular matrix",10,17,0.588235294117647,"Cluster_1"
"127",7,10,"R-MMU-1474244~Extracellular matrix organization","R-MMU-9006936~Signaling by TGFB family members",3,23,0.130434782608696,"Cluster_1"
"128",7,11,"R-MMU-1474244~Extracellular matrix organization","R-MMU-9839373~Signaling by TGFBR3",3,19,0.157894736842105,"Cluster_1"
"129",7,12,"R-MMU-1474244~Extracellular matrix organization","mmu05135:Yersinia infection",2,24,0.0833333333333333,"Cluster_1"
"130",7,13,"R-MMU-1474244~Extracellular matrix organization","mmu05135:Yersinia infection",2,24,0.0833333333333333,"Cluster_1"
"131",7,16,"R-MMU-1474244~Extracellular matrix organization","mmu05323:Rheumatoid arthritis",1,24,0.0416666666666667,"Cluster_1"
"132",7,17,"R-MMU-1474244~Extracellular matrix organization","mmu04668:TNF signaling pathway",2,27,0.0740740740740741,"Cluster_1"
"133",7,18,"R-MMU-1474244~Extracellular matrix organization","mmu05418:Fluid shear stress and atherosclerosis",4,24,0.166666666666667,"Cluster_1"
"134",7,19,"R-MMU-1474244~Extracellular matrix organization","mmu04926:Relaxin signaling pathway",3,24,0.125,"Cluster_1"
"135",7,20,"R-MMU-1474244~Extracellular matrix organization","mmu05135:Yersinia infection",2,24,0.0833333333333333,"Cluster_1"
"136",7,21,"R-MMU-1474244~Extracellular matrix organization","mmu05200:Pathways in cancer",1,32,0.03125,"Cluster_1"
"137",7,25,"R-MMU-1474244~Extracellular matrix organization","WP113:TGF beta signaling pathway",1,23,0.0434782608695652,"Cluster_1"
"138",7,26,"R-MMU-1474244~Extracellular matrix organization","mmu04620:Toll-like receptor signaling pathway",1,22,0.0454545454545455,"Cluster_1"
"139",8,9,"mmu04926:Relaxin signaling pathway","R-MMU-1474228~Degradation of the extracellular matrix",3,17,0.176470588235294,"Cluster_1"
"140",8,12,"mmu04926:Relaxin signaling pathway","mmu05135:Yersinia infection",5,14,0.357142857142857,"Cluster_1"
"141",8,13,"mmu04926:Relaxin signaling pathway","mmu05135:Yersinia infection",5,14,0.357142857142857,"Cluster_1"
"142",8,14,"mmu04926:Relaxin signaling pathway","mmu04722:Neurotrophin signaling pathway",4,13,0.307692307692308,"Cluster_1"
"143",8,15,"mmu04926:Relaxin signaling pathway","mmu04722:Neurotrophin signaling pathway",4,13,0.307692307692308,"Cluster_1"
"144",8,16,"mmu04926:Relaxin signaling pathway","mmu05323:Rheumatoid arthritis",3,15,0.2,"Cluster_1"
"145",8,17,"mmu04926:Relaxin signaling pathway","mmu04668:TNF signaling pathway",5,17,0.294117647058824,"Cluster_1"
"146",8,18,"mmu04926:Relaxin signaling pathway","mmu05418:Fluid shear stress and atherosclerosis",5,16,0.3125,"Cluster_1"
"147",8,19,"mmu04926:Relaxin signaling pathway","mmu04926:Relaxin signaling pathway",10,10,1,"Cluster_1"
"148",8,20,"mmu04926:Relaxin signaling pathway","mmu05135:Yersinia infection",5,14,0.357142857142857,"Cluster_1"
"149",8,21,"mmu04926:Relaxin signaling pathway","mmu05200:Pathways in cancer",7,19,0.368421052631579,"Cluster_1"
"150",8,22,"mmu04926:Relaxin signaling pathway","mmu04722:Neurotrophin signaling pathway",4,13,0.307692307692308,"Cluster_1"
"151",8,23,"mmu04926:Relaxin signaling pathway","mmu04657:IL-17 signaling pathway",4,12,0.333333333333333,"Cluster_1"
"152",8,24,"mmu04926:Relaxin signaling pathway","mmu05203:Viral carcinogenesis",4,15,0.266666666666667,"Cluster_1"
"153",8,25,"mmu04926:Relaxin signaling pathway","WP113:TGF beta signaling pathway",3,14,0.214285714285714,"Cluster_1"
"154",8,26,"mmu04926:Relaxin signaling pathway","mmu04620:Toll-like receptor signaling pathway",5,11,0.454545454545455,"Cluster_1"
"155",8,27,"mmu04926:Relaxin signaling pathway","mmu04722:Neurotrophin signaling pathway",4,13,0.307692307692308,"Cluster_1"
"156",9,10,"R-MMU-1474228~Degradation of the extracellular matrix","R-MMU-9006936~Signaling by TGFB family members",3,16,0.1875,"Cluster_1"
"157",9,11,"R-MMU-1474228~Degradation of the extracellular matrix","R-MMU-9839373~Signaling by TGFBR3",3,12,0.25,"Cluster_1"
"158",9,12,"R-MMU-1474228~Degradation of the extracellular matrix","mmu05135:Yersinia infection",1,18,0.0555555555555556,"Cluster_1"
"159",9,13,"R-MMU-1474228~Degradation of the extracellular matrix","mmu05135:Yersinia infection",1,18,0.0555555555555556,"Cluster_1"
"160",9,16,"R-MMU-1474228~Degradation of the extracellular matrix","mmu05323:Rheumatoid arthritis",1,17,0.0588235294117647,"Cluster_1"
"161",9,17,"R-MMU-1474228~Degradation of the extracellular matrix","mmu04668:TNF signaling pathway",1,21,0.0476190476190476,"Cluster_1"
"162",9,18,"R-MMU-1474228~Degradation of the extracellular matrix","mmu05418:Fluid shear stress and atherosclerosis",1,20,0.05,"Cluster_1"
"163",9,19,"R-MMU-1474228~Degradation of the extracellular matrix","mmu04926:Relaxin signaling pathway",3,17,0.176470588235294,"Cluster_1"
"164",9,20,"R-MMU-1474228~Degradation of the extracellular matrix","mmu05135:Yersinia infection",1,18,0.0555555555555556,"Cluster_1"
"165",9,21,"R-MMU-1474228~Degradation of the extracellular matrix","mmu05200:Pathways in cancer",1,25,0.04,"Cluster_1"
"166",9,25,"R-MMU-1474228~Degradation of the extracellular matrix","WP113:TGF beta signaling pathway",1,16,0.0625,"Cluster_1"
"167",9,26,"R-MMU-1474228~Degradation of the extracellular matrix","mmu04620:Toll-like receptor signaling pathway",1,15,0.0666666666666667,"Cluster_1"
"168",10,11,"R-MMU-9006936~Signaling by TGFB family members","R-MMU-9839373~Signaling by TGFBR3",5,9,0.555555555555556,"Cluster_1"
"169",10,17,"R-MMU-9006936~Signaling by TGFB family members","mmu04668:TNF signaling pathway",1,20,0.05,"Cluster_1"
"170",10,21,"R-MMU-9006936~Signaling by TGFB family members","mmu05200:Pathways in cancer",1,24,0.0416666666666667,"Cluster_1"
"171",10,25,"R-MMU-9006936~Signaling by TGFB family members","WP113:TGF beta signaling pathway",3,13,0.230769230769231,"Cluster_1"
"172",11,17,"R-MMU-9839373~Signaling by TGFBR3","mmu04668:TNF signaling pathway",1,16,0.0625,"Cluster_1"
"173",11,25,"R-MMU-9839373~Signaling by TGFBR3","WP113:TGF beta signaling pathway",2,10,0.2,"Cluster_1"
"174",12,13,"mmu05135:Yersinia infection","mmu05135:Yersinia infection",9,9,1,"Cluster_1"
"175",12,14,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"176",12,15,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"177",12,16,"mmu05135:Yersinia infection","mmu05323:Rheumatoid arthritis",3,14,0.214285714285714,"Cluster_1"
"178",12,17,"mmu05135:Yersinia infection","mmu04668:TNF signaling pathway",6,15,0.4,"Cluster_1"
"179",12,18,"mmu05135:Yersinia infection","mmu05418:Fluid shear stress and atherosclerosis",5,15,0.333333333333333,"Cluster_1"
"180",12,19,"mmu05135:Yersinia infection","mmu04926:Relaxin signaling pathway",5,14,0.357142857142857,"Cluster_1"
"181",12,20,"mmu05135:Yersinia infection","mmu05135:Yersinia infection",9,9,1,"Cluster_1"
"182",12,21,"mmu05135:Yersinia infection","mmu05200:Pathways in cancer",6,19,0.315789473684211,"Cluster_1"
"183",12,22,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"184",12,23,"mmu05135:Yersinia infection","mmu04657:IL-17 signaling pathway",5,10,0.5,"Cluster_1"
"185",12,24,"mmu05135:Yersinia infection","mmu05203:Viral carcinogenesis",4,14,0.285714285714286,"Cluster_1"
"186",12,25,"mmu05135:Yersinia infection","WP113:TGF beta signaling pathway",3,13,0.230769230769231,"Cluster_1"
"187",12,26,"mmu05135:Yersinia infection","mmu04620:Toll-like receptor signaling pathway",5,10,0.5,"Cluster_1"
"188",12,27,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"189",13,14,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"190",13,15,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"191",13,16,"mmu05135:Yersinia infection","mmu05323:Rheumatoid arthritis",3,14,0.214285714285714,"Cluster_1"
"192",13,17,"mmu05135:Yersinia infection","mmu04668:TNF signaling pathway",6,15,0.4,"Cluster_1"
"193",13,18,"mmu05135:Yersinia infection","mmu05418:Fluid shear stress and atherosclerosis",5,15,0.333333333333333,"Cluster_1"
"194",13,19,"mmu05135:Yersinia infection","mmu04926:Relaxin signaling pathway",5,14,0.357142857142857,"Cluster_1"
"195",13,20,"mmu05135:Yersinia infection","mmu05135:Yersinia infection",9,9,1,"Cluster_1"
"196",13,21,"mmu05135:Yersinia infection","mmu05200:Pathways in cancer",6,19,0.315789473684211,"Cluster_1"
"197",13,22,"mmu05135:Yersinia infection","mmu04722:Neurotrophin signaling pathway",4,12,0.333333333333333,"Cluster_1"
"198",13,23,"mmu05135:Yersinia infection","mmu04657:IL-17 signaling pathway",5,10,0.5,"Cluster_1"
"199",13,24,"mmu05135:Yersinia infection","mmu05203:Viral carcinogenesis",4,14,0.285714285714286,"Cluster_1"
